time/time_elapsed,train/reward_max,train/reward_mean,time/fps,time/total_timesteps,train/reward,time/iterations,train/reward_min,train/std,train/entropy_loss,train/approx_kl,train/loss,train/explained_variance,train/clip_fraction,train/n_updates,train/policy_gradient_loss,train/value_loss,train/clip_range,train/learning_rate
7,,,284,2048,0.2696047,1,,,,,,,,,,,,
14,,,277,4096,0.51636755,2,,1.0037846565246582,-41.20778222084046,0.015938573,9.951271057128906,-0.005673766136169434,0.224267578125,10,-0.019509000828838906,18.13799411058426,0.2,0.00025
21,,,279,6144,-1.1073728,3,,1.0066351890563965,-41.30183167457581,0.016527623,29.554121017456055,0.0011572837829589844,0.2072265625,20,-0.021359526575542985,77.2346121788025,0.2,0.00025
29,,,278,8192,5.370301,4,,1.0105258226394653,-41.39818770885468,0.019144706,27.660404205322266,0.0030676722526550293,0.22294921875,30,-0.020312226345413364,74.90776658058167,0.2,0.00025
36,,,277,10240,3.6159627,5,,1.0143821239471436,-41.49639127254486,0.01908706,10.215023040771484,-0.0063991546630859375,0.233154296875,40,-0.01678351036971435,18.951056188344957,0.2,0.00025
44,,,274,12288,2.0165453,6,,1.0154228210449219,-41.57331471443176,0.017993446,22.364151000976562,-0.004813075065612793,0.16201171875,50,-0.014933945747907273,68.10205031633377,0.2,0.00025
52,,,275,14336,1.3081485,7,,1.0174267292022705,-41.6224205493927,0.021372788,30.841371536254883,-0.0025153160095214844,0.172998046875,60,-0.017042356406454927,76.6013843536377,0.2,0.00025
60,,,271,16384,1.4423236,8,,1.016661524772644,-41.641358089447024,0.019272655,9.38665771484375,-0.01779770851135254,0.1779296875,70,-0.01878418294945732,25.377008783817292,0.2,0.00025
68,,,270,18432,1.0867287,9,,1.018317699432373,-41.647646474838254,0.020756021,29.814226150512695,-0.021242380142211914,0.22724609375,80,-0.019434678633115255,50.253447926044466,0.2,0.00025
75,,,271,20480,0.5147355,10,,1.02030611038208,-41.693485260009766,0.022707675,32.34096908569336,0.0032410025596618652,0.186962890625,90,-0.020003839692799376,57.17777533531189,0.2,0.00025
83,,,270,22528,-0.05239917,11,,1.0226458311080933,-41.77000076770783,0.027844278,39.68132019042969,-0.0018445253372192383,0.290234375,100,-0.017389008769532664,86.44384400844574,0.2,0.00025
90,,,272,24576,0.08854253,12,,1.025490164756775,-41.836071133613586,0.018749427,10.264535903930664,-0.07455039024353027,0.230908203125,110,-0.01663524896139279,20.105823272466658,0.2,0.00025
97,,,273,26624,-0.12847878,13,,1.0267441272735596,-41.894085383415224,0.021310896,26.53241539001465,0.007304012775421143,0.22578125,120,-0.012898496622801759,54.306211054325104,0.2,0.00025
104,,,273,28672,0.098898716,14,,1.0272194147109985,-41.915998458862305,0.020347752,43.41455841064453,-0.0005245208740234375,0.20986328125,130,-0.01117537594982423,74.46640952825547,0.2,0.00025
112,,,274,30720,4.076185,15,,1.0285083055496216,-41.93459398746491,0.024147935,19.19594383239746,-0.022921442985534668,0.2619140625,140,-0.013019612792413681,35.02575725317001,0.2,0.00025
119,,,274,32768,0.3633322,16,,1.0328391790390015,-42.016816639900206,0.023305396,53.69829559326172,0.01048201322555542,0.2443359375,150,-0.019028673466527833,82.59541865587235,0.2,0.00025
126,,,274,34816,0.5644344,17,,1.0365898609161377,-42.12969107627869,0.022303559,36.25696563720703,-0.00951540470123291,0.1619140625,160,-0.015921443328261377,85.59690165519714,0.2,0.00025
134,,,274,36864,-0.83068335,18,,1.0385582447052002,-42.219659423828126,0.02045444,44.95225524902344,0.0008562803268432617,0.231201171875,170,-0.011368213570676744,90.80925924777985,0.2,0.00025
141,,,275,38912,1.489091,19,,1.0402743816375732,-42.25937802791596,0.032867603,9.193547248840332,0.012674152851104736,0.309228515625,180,-0.017645703331800176,18.628833442926407,0.2,0.00025
148,,,275,40960,-0.13819544,20,,1.044681429862976,-42.34042112827301,0.026866438,39.43828582763672,0.025232374668121338,0.252490234375,190,-0.012495172352646477,66.01161217689514,0.2,0.00025
155,,,276,43008,-8.50711,21,,1.0473074913024902,-42.45230762958526,0.02721822,33.458885192871094,0.0005047917366027832,0.289794921875,200,-0.012586463300976902,82.89213442802429,0.2,0.00025
163,,,276,45056,3.1315992,22,,1.050662636756897,-42.531110525131226,0.03708297,12.045204162597656,-0.015400528907775879,0.33671875,210,-0.015016173000913114,28.445887184143068,0.2,0.00025
170,,,276,47104,0.1676025,23,,1.052464485168457,-42.59670958518982,0.024692995,18.552474975585938,0.005169034004211426,0.248779296875,220,-0.014213639893569052,68.44393626451492,0.2,0.00025
177,,,276,49152,8.120843,24,,1.0542833805084229,-42.64052863121033,0.026255954,45.52426528930664,-0.003894209861755371,0.283203125,230,-0.007278979106922634,70.63292689323426,0.2,0.00025
184,,,276,51200,-1.4201341,25,,1.0561014413833618,-42.69956638813019,0.026160978,38.432830810546875,0.01677525043487549,0.2634765625,240,-0.012542168120853603,64.09310255050659,0.2,0.00025
